,portfolio_value,return,weight_AAPL,weight_AGG,weight_AMZN,weight_GLD,weight_GOOGL,weight_META,weight_MSFT,weight_SPY,weight_TLT,weight_XLE,weight_XLF,weight_XLK,weight_XLP,weight_XLV,cumulative_return,drawdown,position_change,transaction_cost,rolling_volatility,rolling_return,rolling_sharpe,year,month,rolling_var95,rolling_cvar95
2023-06-20,1.0278588948167704,-0.015044969614481096,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.3999995,0.027858894816770396,-0.08891328733394865,5.9604645e-08,1.7881394e-10,,,,2023,6,,
2023-06-21,1.0371160150977108,0.009006217028058705,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.39999953,0.037116015097710786,-0.08070784266829764,2.9802322e-08,8.940697e-11,,,,2023,6,,
2023-06-22,1.0130397820078247,-0.023214599658474833,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999998,0.4,-0.4,0.4,0.39999947,0.01303978200782474,-0.10204884206992873,8.940697e-08,2.682209e-10,,,,2023,6,,
2023-06-23,1.016479217131745,0.0033951629393105254,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999998,0.4,-0.4,0.4,0.3999994,0.01647921713174494,-0.09900015157721356,5.9604645e-08,1.7881394e-10,,,,2023,6,,
2023-06-26,1.018319854945178,0.001810797291681876,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.39999947,0.01831985494517796,-0.09736862349188385,8.940697e-08,2.682209e-10,,,,2023,6,,
2023-06-27,1.0356919901395734,0.0170596056926835,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.39999944,0.03569199013957336,-0.08197008812281124,2.9802322e-08,8.940697e-11,,,,2023,6,,
2023-06-28,1.0323996901498698,-0.0031788408340011065,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999998,0.4,-0.4,0.4,0.39999944,0.032399690149869764,-0.08488835909352092,2.9802322e-08,8.940697e-11,,,,2023,6,,
2023-06-29,1.0381212561984998,0.005542006747211836,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999977,0.4,-0.4,0.4,0.3999994,0.03812125619849982,-0.07981680420516507,5.9604645e-08,1.7881394e-10,,,,2023,6,,
2023-06-30,1.0735828627028856,0.034159406998603314,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999974,0.4,-0.4,0.4,0.39999938,0.07358286270288561,-0.048383891906733915,5.9604645e-08,1.7881394e-10,,,,2023,6,,
2023-07-03,1.0675384991902512,-0.005630085690281006,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999977,0.4,-0.4,0.4,0.39999938,0.06753849919025123,-0.053741572139550664,2.9802322e-08,8.940697e-11,,,,2023,7,,
2023-07-05,1.0608809531830146,-0.006236352143071722,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999974,0.4,-0.4,0.4,0.39999938,0.06088095318301456,-0.059642772914037835,2.9802322e-08,8.940697e-11,,,,2023,7,,
2023-07-06,1.0448614689840823,-0.015100171372544935,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999997,0.4,-0.4,0.4,0.39999935,0.044861468984082276,-0.07384232819444697,5.9604645e-08,1.7881394e-10,,,,2023,7,,
2023-07-07,1.0336840743300142,-0.010697489558051942,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999974,0.4,-0.4,0.4,0.39999935,0.03368407433001419,-0.08374989021769662,2.9802322e-08,8.940697e-11,,,,2023,7,,
2023-07-10,1.0568061799184507,0.02236863869981076,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999974,0.4,-0.4,0.4,0.39999938,0.05680617991845072,-0.06325462255331424,2.9802322e-08,8.940697e-11,,,,2023,7,,
2023-07-11,1.075955958487405,0.018120426368468,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999998,0.4,-0.4,0.4,0.39999944,0.075955958487405,-0.046280396915288756,1.1920929e-07,3.5762787e-10,,,,2023,7,,
2023-07-12,1.107862082249015,0.02965374512769481,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999977,0.4,-0.4,0.4,0.39999944,0.10786208224901506,-0.017999038882128497,2.9802322e-08,8.940697e-11,,,,2023,7,,
2023-07-13,1.097272753745123,-0.009558345459748208,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999998,0.4,-0.4,0.4,0.39999947,0.09727275374512301,-0.02738534331029786,5.9604645e-08,1.7881394e-10,,,,2023,7,,
2023-07-14,1.0780729114540464,-0.01749778459872009,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999998,0.4,-0.4,0.4,0.39999944,0.07807291145404638,-0.04440394507061239,2.9802322e-08,8.940697e-11,,,,2023,7,,
2023-07-17,1.091880983576862,0.012808105997387464,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.3999995,0.09188098357686192,-0.03216456950839149,8.940697e-08,2.682209e-10,,,,2023,7,,
2023-07-18,1.133923665945995,0.038504821497492125,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.39999953,0.13392366594599503,0.0,2.9802322e-08,8.940697e-11,,,,2023,7,,
2023-07-19,1.1550395086776888,0.01862192611887803,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.3999996,0.1550395086776888,0.0,5.9604645e-08,1.7881394e-10,,,,2023,7,,
2023-07-20,1.1653960675996264,0.008966410970473238,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999986,0.4,-0.4,0.4,0.3999996,0.16539606759962644,0.0,2.9802322e-08,8.940697e-11,,,,2023,7,,
2023-07-21,1.150415005003325,-0.012854910886354709,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999986,0.4,-0.4,0.4,0.39999962,0.15041500500332505,-0.012854910886354692,2.9802322e-08,8.940697e-11,,,,2023,7,,
2023-07-24,1.1578334801453933,0.006448520846654704,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999999,0.4,-0.4,0.4,0.39999962,0.15783348014539333,-0.006489285200532565,2.9802322e-08,8.940697e-11,,,,2023,7,,
2023-07-25,1.1648319508195886,0.006044453536890648,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999999,0.4,-0.4,0.4,0.39999965,0.16483195081958857,-0.0004840558465241657,2.9802322e-08,8.940697e-11,,,,2023,7,,
